GEOID,STATE,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE
01,ALABAMA,734974,10.01,1.08,5.55,3.38,10.21,5.19,3.29,217.05,269.02,230.98,266.56
02,ALASKA,130755,22.34,2.63,15.5,4.21,22.7,11.35,8.17,212.79,258.75,236.33,280.49
04,ARIZONA,944978,8.71,1.16,3.42,4.13,8.36,4.07,3.05,215.31,260.32,237.61,282.92
05,ARKANSAS,479682,11.07,1.21,8.5,1.36,11.15,5.46,3.7,218.08,262.77,235.22,275.06
06,CALIFORNIA,6226523,12.57,1.21,6.8,4.55,12.59,6.26,3.77,212.68,258.77,231.55,275.32
08,COLORADO,872320,11.06,0.82,4.99,5.25,10.96,5.25,3.63,224.02,258.99,241.56,285.54
09,CONNECTICUT,505366,21.96,0.88,8.61,12.47,20.86,11.89,6.4,228.95,268.07,240.16,283.96
10,DELAWARE,121845,16.55,1.13,9.38,6.05,16.21,8.8,4.79,223.7,273.05,238.68,279.81
12,FLORIDA,2743641,9.83,1.14,3.89,4.81,9.94,5.44,2.98,227.19,247.65,242.66,275.32
13,GEORGIA,1717805,10.82,1.07,4.84,4.91,10.77,5.87,3.1,222.01,277.19,236.45,278.71
15,HAWAII,182384,14.82,1.42,13.06,0.34,13.82,7.55,4.58,215.12,263.38,237.9,279.34
16,IDAHO,274131,7.91,0.85,5.04,2.02,7.4,4.13,2.42,221.69,262.27,238.8,283.74
17,ILLINOIS,2047123,15.68,1.11,5.79,8.78,15.83,8.46,5.02,222.02,257.35,237.31,281.97
18,INDIANA,1004215,12.4,0.93,7.64,3.83,11.33,5.51,3.7,227.28,268.55,247.65,287.18
19,IOWA,505311,13.29,0.91,6.85,5.53,13.4,6.7,3.78,223.63,266.81,243.34,286.42
20,KANSAS,496920,12.06,0.96,7.98,3.12,12.43,6.14,3.41,221.09,268.25,241.07,283.87
21,KENTUCKY,688475,10.96,1.23,6.07,3.66,10.97,5.53,3.51,228.06,268.2,241.73,277.95
22,LOUISIANA,661015,12.78,1.87,5.27,5.65,12.76,6.2,4.2,216.2,266.77,234.28,268.43
23,MAINE,176176,15.55,1.04,6.02,8.48,14.74,7.99,5.17,223.73,267.77,242.24,284.88
24,MARYLAND,874108,16.58,0.94,7.17,8.47,15.88,8.79,4.99,222.94,255.47,239.5,283.15
25,MASSACHUSETTS,916130,18.54,0.85,7.43,10.26,18.53,10.67,5.5,235.28,268.39,250.57,296.91
26,MICHIGAN,1345009,14.15,1.18,7.81,5.15,13.19,6.72,4.34,216.31,267.91,235.73,278.17
27,MINNESOTA,807044,14.48,0.78,9.38,4.32,14.83,7.75,3.64,223.35,274.5,249.58,294.15
28,MISSISSIPPI,490189,9.37,1.37,4.74,3.25,9.43,4.8,3.11,214.11,264.5,234.24,270.58
29,MISSOURI,892779,11.9,1.06,4.97,5.86,11.81,6.03,3.66,222.73,270.24,238.96,280.82
30,MONTANA,144447,12.49,1.49,5.89,5.11,12.49,6.51,4.03,224.76,251.98,241.29,287.46
31,NEBRASKA,312281,13.61,1.1,4.32,8.18,13.72,7.83,3.53,226.63,266.88,243.86,286.5
32,NEVADA,438948,9.9,0.9,6.25,2.75,9.53,4.94,3.33,214.43,269.96,233.83,275.17
33,NEW_HAMPSHIRE,183039,16.9,0.9,5.46,10.53,16.63,9.27,5.13,231.95,269.43,249.15,294.41
34,NEW_JERSEY,1339230,21.9,0.86,8.53,12.51,21.51,11.45,7.03,229.49,259.42,245.38,293.37
35,NEW_MEXICO,326297,11.61,1.53,7.95,2.13,11.79,5.44,3.85,207.24,274.81,231.17,270.9
36,NEW_YORK,2631532,24.21,1.09,9.84,13.28,24.74,15.94,5.97,222.65,270.85,236.8,280.09
37,NORTH_CAROLINA,1465031,8.97,1.09,5.58,2.31,9.6,5.43,2.79,225.81,253.23,243.74,281.33
38,NORTH_DAKOTA,106061,15.51,1.49,8.89,5.12,17.02,7.78,4.56,224.69,263.25,244.71,288.24
39,OHIO,1600222,15.23,1.05,6.36,7.83,14.1,7.26,4.58,224.93,260.59,243.6,285.06
